user,message,game,toxicity,keywords,location
小狗叫的最响亮,did your mum get r&ped in front of you bro,Marvel Rivals,True,[],Southeast Asia
小狗叫的最响亮,cringe guy man,Marvel Rivals,False,[],Southeast Asia
RUR-5 ASROC,disgusting,Marvel Rivals,False,[],Southeast Asia
ug1ysm,please,Marvel Rivals,False,[],Southeast Asia
RUR-5 ASROC,yeah neither of u are getting heals,Marvel Rivals,False,['heals'],Southeast Asia
haakmal,keep begging,Marvel Rivals,False,[],Southeast Asia
ug1ysm,give me psylock,Marvel Rivals,False,['psylock'],Southeast Asia
ug1ysm,huhu,Marvel Rivals,False,[],Southeast Asia
ug1ysm,let me,Marvel Rivals,False,[],Southeast Asia
ug1ysm,please,Marvel Rivals,False,[],Southeast Asia
ug1ysm,for lord,Marvel Rivals,False,['lord'],Southeast Asia
ug1ysm,for lord psylocke,Marvel Rivals,False,"['lord', 'psylocke']",Southeast Asia
RUR-5 ASROC,disgusting,Marvel Rivals,False,[],Southeast Asia
ug1ysm,psylocke,Marvel Rivals,False,['psylocke'],Southeast Asia
ug1ysm,4-2,Marvel Rivals,False,[],Southeast Asia
ug1ysm,ew,Marvel Rivals,False,[],Southeast Asia
ug1ysm,ewwwwwwwwwww,Marvel Rivals,False,[],Southeast Asia
ug1ysm,ewwwwwwwwwww,Marvel Rivals,False,[],Southeast Asia
ug1ysm,5-3,Marvel Rivals,False,[],Southeast Asia
ug1ysm,ew,Marvel Rivals,False,['ew'],Southeast Asia
ug1ysm,psydick,Marvel Rivals,True,['psydick'],Southeast Asia
ug1ysm,ew,Marvel Rivals,False,['ew'],Southeast Asia
ug1ysm,psydick,Marvel Rivals,True,['psydick'],Southeast Asia
ug1ysm,ew,Marvel Rivals,False,['ew'],Southeast Asia
ug1ysm,ewwwwwwwwwwwww,Marvel Rivals,False,['ewwwwwwwwwwwww'],Southeast Asia
kwangyy,what duck bro,Marvel Rivals,False,[],Southeast Asia
RUR-5 ASROC,is that what women say when they see u IRL,Marvel Rivals,False,['IRL'],Southeast Asia
RUR-5 ASROC,ewwwwww?,Marvel Rivals,False,['ewwwwww'],Southeast Asia
ug1ysm,psylocke no impact,Marvel Rivals,False,['psylocke'],Southeast Asia
ug1ysm,hahahahahahaahahah,Marvel Rivals,False,[],Southeast Asia
haakmal,:D,Marvel Rivals,False,['D'],Southeast Asia
haakmal,why did you switch off healer,Marvel Rivals,False,"['switch', 'healer']",Southeast Asia
haakmal,you freak :D,Marvel Rivals,False,['freak'],Southeast Asia
donuttime_456,s,Marvel Rivals,False,[],Southeast Asia
Alm1ghtySosa,JEFF DPS BRO,Marvel Rivals,False,"['JEFF', 'DPS']",Southeast Asia
Alm1ghtySosa,JEFF BETTER THAN PSYLOCK,Marvel Rivals,False,"['JEFF', 'PSYLOCK']",Southeast Asia
haakmal,jeff no heals,Marvel Rivals,False,"['jeff', 'heals']",Southeast Asia
haakmal,wp,Marvel Rivals,False,[],Southeast Asia
Gromp'd,ggwp practice spiderman,Marvel Rivals,False,['spiderman'],Southeast Asia
Gromp'd,sorry for bad combos,Marvel Rivals,False,[],Southeast Asia
KEKPipe,cute damage,Marvel Rivals,False,[],Southeast Asia
bigganig,2k and 7k heal bruh,Marvel Rivals,False,['heal'],Southeast Asia
Drekgaur,bad as tank less heal as heal KEKPipe,Marvel Rivals,False,['KEKPipe'],Southeast Asia
Drekgaur,right?,Marvel Rivals,False,[],Southeast Asia
KEKPipe,*** dps,Marvel Rivals,True,['dps'],Southeast Asia
Drekgaur,*** get in and blame people?,Marvel Rivals,False,[],Southeast Asia
KEKPipe,noob dps,Marvel Rivals,True,"['noob', 'dps']",Southeast Asia
Chuslims hater,i f@king hate,Marvel Rivals,True,"['f@king', 'hate']",Southeast Asia
Chuslims hater,muslims,Marvel Rivals,False,['muslims'],Southeast Asia
haakmal,yo,Marvel Rivals,False,[],Southeast Asia
haakmal,dps,Marvel Rivals,False,['dps'],Southeast Asia
haakmal,honestly,Marvel Rivals,False,[],Southeast Asia
haakmal,imma let it slide.,Marvel Rivals,False,[],Southeast Asia
kwangyy,I have spotted our enemy JEFF THE LAND SHARK!,Marvel Rivals,False,"['JEFF', 'LAND', 'SHARK']",Southeast Asia
ANIKH,So,Marvel Rivals,False,[],Southeast Asia
haakmal,just,Marvel Rivals,False,[],Southeast Asia
ANIKH,What did u expected,Marvel Rivals,False,[],Southeast Asia
DragonLuke,so u as spiderman not good,Marvel Rivals,False,['spiderman'],Southeast Asia
haakmal,notcing,Marvel Rivals,False,[],Southeast Asia
haakmal,?,Marvel Rivals,False,[],Southeast Asia
Victor040624,STILL lose,Marvel Rivals,False,[],Southeast Asia
disorder,yeah,Teamfight Tactics,False,[],Australia
Petrify,thought so drongo,Teamfight Tactics,True,[],Australia
Petrify,griefing your own econ to grief me when you could be 9 already is 10/10 brain disorder behaviour,Teamfight Tactics,True,"['griefing', 'econ']",Australia
lagcheck,im guessing it wasnt worth he wait,Teamfight Tactics,False,[],Australia
disorder,going for ryze 3,Teamfight Tactics,False,['ryze'],Australia
Petrify,ryze 3 level 8 0 gold geniusmode,Teamfight Tactics,False,"['ryze', 'gold', 'geniusmode']",Australia
Petrify,well done brain disorder,Teamfight Tactics,True,[],Australia
darbs,china man,Teamfight Tactics,True,[],Australia
Sebbie,mawwww someones angwywwww,Teamfight Tactics,False,[],Australia
Sebbie,maybe baby needs a nap,Teamfight Tactics,False,[],Australia
darbs,"is your willy small, china man",Teamfight Tactics,True,[],Australia
Sebbie,lmao,Teamfight Tactics,False,['lmao'],Australia
darbs,did your parents get mad when you didn't become a doctor,Teamfight Tactics,False,[],Australia
Sebbie,if I had one,Teamfight Tactics,False,[],Australia
Sebbie,ez lmao,Teamfight Tactics,False,"['ez', 'lmao']",Australia
aiukhgiang,suc sinh,Teamfight Tactics,True,[],Australia
riival,suc ya mum,Teamfight Tactics,True,[],Australia
aiukhgiang,you shut,Teamfight Tactics,False,[],Australia
riival,you mom boom,Teamfight Tactics,True,[],Australia
aiukhgiang,u mom die,Teamfight Tactics,True,[],Australia
aiukhgiang,eat s h i t,Teamfight Tactics,True,[],Australia
riival,CUNT HAHAHAHAHHA,Teamfight Tactics,False,[],Australia
riival,MOM BOOM,Teamfight Tactics,True,[],Australia
aiukhgiang,??,Teamfight Tactics,False,[],Australia
riival,BYE BYE,Teamfight Tactics,False,[],Australia
aiukhgiang,eat s h i t bla blu,Teamfight Tactics,True,[],Australia
aiukhgiang,??,Teamfight Tactics,False,[],Australia
aiukhgiang,fuc  k byere,Teamfight Tactics,True,[],Australia
riival,:D,Teamfight Tactics,False,[],Australia
