user,message,game,toxicity,keywords,location,extracted_keywords,used_definitions,model_prediction
JessicaKP,gg,Counter-Strike,False,['gg'],Southeast Asia,['gg'],"{'gg': {'General': {'matched_word': 'gg', 'definition': 'good game; used after matches', 'score': 0.9999688745}}}","{'message': 'gg', 'toxicity': False, 'reason': ""this is a wholesome comment as 'gg' means 'good game', which is a positive term used after matches.""}"
kwangyy,gg,Counter-Strike,False,['gg'],Southeast Asia,['gg'],"{'gg': {'General': {'matched_word': 'gg', 'definition': 'good game; used after matches', 'score': 0.9999688745}}}","{'message': 'gg', 'toxicity': False, 'reason': ""this is a wholesome comment as 'gg' means 'good game', which is a positive term used after matches.""}"
Qpikcuuw,gbu fk u all,Counter-Strike,True,"['gbu', 'fk']",Southeast Asia,[],{},"{'message': 'gbu fk u all', 'toxicity': True, 'reason': ""this message contains profanities that are aggressive to others, such as 'fk u' which is a direct insult and 'gbu' which is also a derogatory term.""}"
fontannes.d.c,hbd,Counter-Strike,False,['hbd'],Southeast Asia,[],{},"{'message': 'hbd', 'toxicity': False, 'reason': ""this message is a simple 'happy birthday' message and does not contain any toxic language or intent.""}"
wuannxii..,nt,Counter-Strike,False,[],Southeast Asia,['nt'],"{'nt': {'General': {'matched_word': 'nt', 'definition': 'nice try', 'score': 0.9999633256}}}","{'message': 'nt', 'toxicity': False, 'reason': ""this is a gaming term that means 'nice try', which is a non-toxic expression of encouragement.""}"
Kattis,gh,Counter-Strike,False,['gh'],Southeast Asia,[],{},"{'message': 'gh', 'toxicity': False, 'reason': 'this message is too short to contain any toxic content.'}"
fontannes.d.c,MAKASIH BANG,Counter-Strike,False,['MAKASIH'],Southeast Asia,['bodoh'],{},"{'message': 'MAKASIH BANG', 'toxicity': False, 'reason': 'this message is not toxic as it does not contain any of the keywords that are considered toxic, such as profanities, hate speech, personal insults, sexual harassment, or psychological attacks.'}"
kwangyy,PLANTING!,Counter-Strike,False,[],Southeast Asia,['planting'],"{'planting': {'Counter-Strike': {'matched_word': 'planting', 'definition': 'placing the bomb at the site', 'score': 0.999972546}}}","{'message': 'PLANTING!', 'toxicity': False, 'reason': 'this is a term used in the context of Counter-Strike, referring to placing the bomb at the site, and does not contain any toxic language or slurs.'}"
wuannxii..,PLANTING!,Counter-Strike,False,[],Southeast Asia,['planting'],"{'planting': {'Counter-Strike': {'matched_word': 'planting', 'definition': 'placing the bomb at the site', 'score': 0.999972546}}}","{'message': 'PLANTING!', 'toxicity': False, 'reason': 'this is a term used in the context of Counter-Strike, referring to placing the bomb at the site, and does not contain any toxic language or slurs.'}"
ráf,GG,Counter-Strike,False,['GG'],Southeast Asia,['gg'],"{'gg': {'General': {'matched_word': 'gg', 'definition': 'good game; used after matches', 'score': 0.9999688745}}}","{'message': 'GG', 'toxicity': False, 'reason': ""this is a wholesome comment as 'gg' is used to express 'good game' which is a positive sentiment in the gaming context.""}"
Qpikcuuw,GG LAH MASAK ENGGA,Counter-Strike,False,"['GG', 'MASAK', 'ENGGA']",Southeast Asia,['gg'],"{'gg': {'General': {'matched_word': 'gg', 'definition': 'good game; used after matches', 'score': 0.9999688745}}}","{'message': 'GG LAH MASAK ENGGA', 'toxicity': False, 'reason': ""GG is a term used to express 'good game' in a gaming context, and the rest of the message appears to be a playful expression of excitement or frustration, which is not toxic.""}"
Kattis,gg,Counter-Strike,False,['gg'],Southeast Asia,['gg'],"{'gg': {'General': {'matched_word': 'gg', 'definition': 'good game; used after matches', 'score': 0.9999688745}}}","{'message': 'gg', 'toxicity': False, 'reason': ""this is a wholesome comment as 'gg' means 'good game', which is a positive term used after matches.""}"
Kattis,DEFUSING!,Counter-Strike,False,[],Southeast Asia,['defusing'],"{'defusing': {'Counter-Strike': {'matched_word': 'defusing', 'definition': 'disarming the planted bomb', 'score': 0.9999686239000001}}}","{'message': 'DEFUSING!', 'toxicity': False, 'reason': 'this is a celebratory comment in a gaming context, specifically referring to the act of defusing in Counter-Strike, which is a positive and non-toxic action.'}"
Kattis,can we like,Counter-Strike,False,[],Southeast Asia,[],{},"{'message': 'can we like', 'toxicity': False, 'reason': 'this message does not contain any toxic keywords or phrases, it appears to be a neutral or non-committal comment.'}"
Kattis,start playing like a team,Counter-Strike,False,[],Southeast Asia,[],{},"{'message': 'start playing like a team', 'toxicity': False, 'reason': 'this is a constructive comment that is suggesting improvement, it does not contain any aggressive language or personal insults.'}"
Kattis,y'all are not HIM,Counter-Strike,False,[],Southeast Asia,[],{},"{'message': ""y'all are not HIM"", 'toxicity': False, 'reason': 'this message is not toxic as it does not contain any of the specified toxic keywords or phrases.'}"
J18,everything also need explanation,League of Legends,False,[],Southeast Asia,[],{},"{'message': 'everything also need explanation', 'toxicity': False, 'reason': 'this message is a neutral comment that is asking for clarification, it does not contain any toxic language or aggressive tone.'}"
shrive,lmao,League of Legends,False,['lmao'],Southeast Asia,['lmao'],"{'lmao': {'General': {'matched_word': 'lmao', 'definition': 'laughing my ass off', 'score': 0.9999668298000001}}}","{'message': 'lmao', 'toxicity': False, 'reason': ""lmao is a common abbreviation for 'laughing my ass off', which is a non-toxic expression of laughter.""}"
shrive,stfu ite dog,League of Legends,True,['ite'],Southeast Asia,[],{},"{'message': 'stfu ite dog', 'toxicity': True, 'reason': 'stfu is aggressive to others, and ite is being used as a derogatory term here, similar to stupid or idiot.'}"
shrive,im in mensa,League of Legends,False,['mensa'],Southeast Asia,[],{},"{'message': 'im in mensa', 'toxicity': False, 'reason': 'this is a statement about being in a high IQ society, it does not contain any toxic keywords or phrases.'}"
shrive,?,League of Legends,False,[],Southeast Asia,[],{},"{'message': '?', 'toxicity': False, 'reason': 'this message is empty and does not contain any toxic keywords or phrases.'}"
shrive,low iq,League of Legends,True,[],Southeast Asia,"['low', 'iq']",{},"{'message': 'low iq', 'toxicity': True, 'reason': ""this comment contains a personal insult, specifically a derogatory term for someone's intelligence.""}"
J18,LOL,League of Legends,False,['LOL'],Southeast Asia,['lol'],"{'lol': {'General': {'matched_word': 'lol', 'definition': 'laughing out loud', 'score': 0.9999656202}}}","{'message': 'LOL', 'toxicity': False, 'reason': ""the message contains 'lol' which is a general abbreviation for laughing out loud, indicating a non-toxic and lighthearted tone.""}"
Yokai.Raijuu,yawn,Marvel Rivals,False,['yawn'],Southeast Asia,['yawn'],"{'yawn': {'General': {'matched_word': 'yawn', 'definition': 'used to mock boredom', 'score': 0.999964118}}}","{'message': 'yawn', 'toxicity': False, 'reason': 'yawn is used to mock boredom, which is not considered toxic.'}"
Yokai.Raijuu,get a life lil bro,Marvel Rivals,True,[],Southeast Asia,[],{},"{'message': 'get a life lil bro', 'toxicity': True, 'reason': ""this comment is toxic as it contains a personal insult ('get a life') and a derogatory term ('lil bro') which is being used to belittle the person.""}"
iszal,you tell em,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'you tell em', 'toxicity': False, 'reason': 'this message is not toxic as it does not contain any profanities, hate speech, personal insults, sexual harassment, or psychological attacks.'}"
HilmGeo,abang jik,Marvel Rivals,False,[],Southeast Asia,"['abang', 'jik']",{},"{'message': 'abang jik', 'toxicity': False, 'reason': 'this message does not contain any of the toxic keywords or phrases'}"
RUR-5 ASROC,spidey sit,Marvel Rivals,False,['spidey'],Southeast Asia,[],{},"{'message': 'spidey sit', 'toxicity': False, 'reason': 'this is a neutral comment that does not contain any toxic keywords or phrases.'}"
RUR-5 ASROC,losing 1v1 to cd??,Marvel Rivals,False,"['losing', '1v1', 'cd']",Southeast Asia,[],{},"{'message': 'losing 1v1 to cd??', 'toxicity': False, 'reason': 'this comment is frustrated, but it does not contain any profanities, hate speech, personal insults, sexual harassment, or psychological attacks. It is likely that the player is expressing frustration with their gameplay.'}"
Nafizzzy,ignore everyone on this as teammate,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'ignore everyone on this as teammate', 'toxicity': False, 'reason': 'this message is instructing people to ignore others, which could be seen as a negative comment, however it is not toxic as it is a neutral instruction.'}"
haakmal,hawkeye,Marvel Rivals,False,['hawkeye'],Southeast Asia,['hawkeye'],"{'hawkeye': {'Marvel Rivals': {'matched_word': 'hawkeye', 'definition': 'ranged marksman with precision arrows and traps', 'score': 0.9999755}}}","{'message': 'hawkeye', 'toxicity': False, 'reason': 'this is a reference to the Marvel character Hawkeye, a ranged marksman, and does not contain any toxic language or connotations.'}"
haakmal,peeeeeeyuuuu,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'peeeeeeyuuuu', 'toxicity': False, 'reason': 'this message is an expression of disgust, but it does not contain any of the specified toxic keywords.'}"
RUR-5 ASROC,god damn,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'god damn', 'toxicity': True, 'reason': 'this message contains a profanity that is aggressive to others.'}"
Illum1ne,hawkeye aimbots is free,Marvel Rivals,True,"['hawkeye', 'aimbots']",Southeast Asia,['hawkeye'],"{'hawkeye': {'Marvel Rivals': {'matched_word': 'hawkeye', 'definition': 'ranged marksman with precision arrows and traps', 'score': 0.9999755}}}","{'message': 'hawkeye aimbots is free', 'toxicity': True, 'reason': 'this comment is toxic as it is accusing hawkeye of using aimbots, which is a serious accusation in gaming.'}"
RUR-5 ASROC,what are these damage numbers,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'what are these damage numbers', 'toxicity': False, 'reason': 'this message is neutral and does not contain any toxic language or insults.'}"
haakmal,Need Healing! On critical health!,Marvel Rivals,False,[],Southeast Asia,['healing'],"{'healing': {'Marvel Rivals': {'matched_word': 'healing', 'definition': 'restoring health to teammates', 'score': 0.9999680813999999}}}","{'message': 'Need Healing! On critical health!', 'toxicity': False, 'reason': 'this is a call for help in a gaming context, specifically asking for healing in a critical situation, which is a normal and non-toxic request.'}"
haakmal,nt,Marvel Rivals,False,[],Southeast Asia,['nt'],"{'nt': {'General': {'matched_word': 'nt', 'definition': 'nice try', 'score': 0.9999626991}}}","{'message': 'nt', 'toxicity': False, 'reason': ""this is a gaming term that means 'nice try', which is a non-toxic expression of encouragement.""}"
Cl1nkZ,thanks bbg,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'thanks bbg', 'toxicity': False, 'reason': 'this message is a simple expression of gratitude and does not contain any toxic language or slurs.'}"
haakmal,:D,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': ':D', 'toxicity': False, 'reason': 'this is an emoticon that indicates happiness and friendliness, and does not contain any toxic language or tone.'}"
kwangyy,gg,Marvel Rivals,False,['gg'],Southeast Asia,['gg'],"{'gg': {'General': {'matched_word': 'gg', 'definition': 'good game; used after matches', 'score': 0.9999688745}}}","{'message': 'gg', 'toxicity': False, 'reason': ""this is a wholesome comment as 'gg' means 'good game', which is a positive term used after matches.""}"
zacharoo77,what a great team,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'what a great team', 'toxicity': False, 'reason': 'this is a positive comment that expresses praise for the team.'}"
zacharoo77,love,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'love', 'toxicity': False, 'reason': 'this message is a simple expression of affection and does not contain any toxic language or tone.'}"
haakmal,dont play C and D :D,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'dont play C and D :D', 'toxicity': False, 'reason': 'this comment is not toxic as it is a lighthearted and playful suggestion.'}"
小狗叫的最响亮,did your mum get r&ped in front of you bro,Marvel Rivals,True,[],Southeast Asia,[],{},"{'message': 'did your mum get r&ped in front of you bro', 'toxicity': True, 'reason': 'this message contains a violent remark, which is a form of sexual harassment.'}"
小狗叫的最响亮,cringe guy man,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'cringe guy man', 'toxicity': True, 'reason': ""cringe is being used as a derogatory term here, and 'guy man' is a condescending phrase.""}"
RUR-5 ASROC,disgusting,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'disgusting', 'toxicity': True, 'reason': 'this is a strong negative word that can be considered toxic as it is an insult.'}"
ug1ysm,please,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'please', 'toxicity': False, 'reason': 'this message is neutral and does not contain any toxic keywords or phrases.'}"
RUR-5 ASROC,yeah neither of u are getting heals,Marvel Rivals,False,['heals'],Southeast Asia,['heals'],"{'heals': {'Marvel Rivals': {'matched_word': 'healing', 'definition': 'restoring health to teammates', 'score': 0.7146905466285715}}}","{'message': 'yeah neither of u are getting heals', 'toxicity': False, 'reason': 'this is a statement in a gaming context, specifically referring to Marvel Rivals, where heals mean restoring health to teammates. It is a negative comment, but not toxic as it is a statement of fact in the game.'}"
haakmal,keep begging,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'keep begging', 'toxicity': True, 'reason': 'this comment is toxic as it is a personal insult and is aggressive to others.'}"
ug1ysm,give me psylock,Marvel Rivals,False,['psylock'],Southeast Asia,['psylock'],"{'psylock': {'Marvel Rivals': {'matched_word': 'psylocke', 'definition': 'fast assassin with psychic melee attacks and mobility', 'score': 0.8323103964}}}","{'message': 'give me psylock', 'toxicity': False, 'reason': 'this message is a request for a character in a game, and does not contain any toxic language or insults.'}"
ug1ysm,huhu,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'huhu', 'toxicity': False, 'reason': 'this message does not contain any of the toxic keywords or phrases.'}"
ug1ysm,let me,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'let me', 'toxicity': False, 'reason': 'this message does not contain any toxic keywords or phrases.'}"
ug1ysm,please,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'please', 'toxicity': False, 'reason': 'this message is neutral and does not contain any toxic keywords or phrases.'}"
ug1ysm,for lord,Marvel Rivals,False,['lord'],Southeast Asia,[],{},"{'message': 'for lord', 'toxicity': False, 'reason': 'this message does not contain any of the keywords that are considered toxic.'}"
ug1ysm,for lord psylocke,Marvel Rivals,False,"['lord', 'psylocke']",Southeast Asia,"['lord', 'psylocke']","{'psylocke': {'Marvel Rivals': {'matched_word': 'psylocke', 'definition': 'fast assassin with psychic melee attacks and mobility', 'score': 0.9999614475}}}","{'message': 'for lord psylocke', 'toxicity': False, 'reason': 'this message is a reference to a character in a game, and does not contain any toxic language or slurs.'}"
RUR-5 ASROC,disgusting,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'disgusting', 'toxicity': True, 'reason': 'this is a strong negative word that can be considered toxic as it is an insult.'}"
ug1ysm,psylocke,Marvel Rivals,False,['psylocke'],Southeast Asia,['psylocke'],"{'psylocke': {'Marvel Rivals': {'matched_word': 'psylocke', 'definition': 'fast assassin with psychic melee attacks and mobility', 'score': 0.9999614475}}}","{'message': 'psylocke', 'toxicity': False, 'reason': 'this is a name reference to a Marvel character, and does not contain any toxic language or context.'}"
ug1ysm,4-2,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': '4-2', 'toxicity': False, 'reason': 'this message is a simple score and does not contain any toxic language or intent.'}"
ug1ysm,ew,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'ew', 'toxicity': False, 'reason': 'this message is too short and does not contain any of the toxic keywords or phrases.'}"
ug1ysm,ewwwwwwwwwww,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'ewwwwwwwwwww', 'toxicity': False, 'reason': 'this message is expressing disgust, however it is not toxic as it does not contain any of the specified aggressive or insulting language.'}"
ug1ysm,ewwwwwwwwwww,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'ewwwwwwwwwww', 'toxicity': False, 'reason': 'this message is expressing disgust, however it is not toxic as it does not contain any of the specified aggressive or insulting language.'}"
ug1ysm,5-3,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': '5-3', 'toxicity': False, 'reason': 'this message is a score, it does not contain any toxic language or personal attacks.'}"
ug1ysm,ew,Marvel Rivals,False,['ew'],Southeast Asia,[],{},"{'message': 'ew', 'toxicity': False, 'reason': 'this message is too short and does not contain any of the toxic keywords or phrases.'}"
ug1ysm,psydick,Marvel Rivals,True,['psydick'],Southeast Asia,[],{},"{'message': 'psydick', 'toxicity': True, 'reason': 'this message contains a profanity that is aggressive to others, specifically a psychological attack or ableist slur.'}"
ug1ysm,ew,Marvel Rivals,False,['ew'],Southeast Asia,[],{},"{'message': 'ew', 'toxicity': False, 'reason': 'this message is too short and does not contain any of the toxic keywords or phrases.'}"
ug1ysm,psydick,Marvel Rivals,True,['psydick'],Southeast Asia,[],{},"{'message': 'psydick', 'toxicity': True, 'reason': 'this message contains a profanity that is aggressive to others, specifically a psychological attack or ableist slur.'}"
ug1ysm,ew,Marvel Rivals,False,['ew'],Southeast Asia,[],{},"{'message': 'ew', 'toxicity': False, 'reason': 'this message is too short and does not contain any of the toxic keywords or phrases.'}"
ug1ysm,ewwwwwwwwwwwww,Marvel Rivals,False,['ewwwwwwwwwwwww'],Southeast Asia,[],{},"{'message': 'ewwwwwwwwwwwww', 'toxicity': False, 'reason': 'this message is not toxic as it is an expression of disgust or dislike, but it does not contain any of the specified toxic keywords.'}"
kwangyy,what duck bro,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'what duck bro', 'toxicity': False, 'reason': 'this message is non-toxic as it does not contain any profanities, hate speech, personal insults, sexual harassment, or psychological attacks.'}"
RUR-5 ASROC,is that what women say when they see u IRL,Marvel Rivals,False,['IRL'],Southeast Asia,[],{},"{'message': 'is that what women say when they see u IRL', 'toxicity': True, 'reason': 'this comment contains a sexual harassment remark, implying a lewd comment women might make when seeing the person in real life.'}"
RUR-5 ASROC,ewwwwww?,Marvel Rivals,False,['ewwwwww'],Southeast Asia,[],{},"{'message': 'ewwwwww?', 'toxicity': False, 'reason': 'this message does not contain any of the specified toxic keywords or phrases.'}"
ug1ysm,psylocke no impact,Marvel Rivals,False,['psylocke'],Southeast Asia,['psylocke'],"{'psylocke': {'Marvel Rivals': {'matched_word': 'psylocke', 'definition': 'fast assassin with psychic melee attacks and mobility', 'score': 0.9999614475}}}","{'message': 'psylocke no impact', 'toxicity': False, 'reason': 'this comment is not toxic as it is simply stating a fact about the character psylocke, and does not contain any aggressive language or personal insults.'}"
ug1ysm,hahahahahahaahahah,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'hahahahahahaahahah', 'toxicity': False, 'reason': 'this message does not contain any toxic keywords or phrases, and appears to be a lighthearted expression of laughter.'}"
haakmal,:D,Marvel Rivals,False,['D'],Southeast Asia,[],{},"{'message': ':D', 'toxicity': False, 'reason': 'this is an emoticon that indicates happiness and friendliness, and does not contain any toxic language or tone.'}"
haakmal,why did you switch off healer,Marvel Rivals,False,"['switch', 'healer']",Southeast Asia,[],{},"{'message': 'why did you switch off healer', 'toxicity': False, 'reason': 'this is a negative comment, however it is not toxic as it could be that the player is frustrated or confused about the game situation'}"
haakmal,you freak :D,Marvel Rivals,False,['freak'],Southeast Asia,[],{},"{'message': 'you freak :D', 'toxicity': True, 'reason': ""the term 'freak' can be used as a derogatory term to insult someone, making this message toxic.""}"
donuttime_456,s,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 's', 'toxicity': False, 'reason': 'this message is too short to contain any toxic content.'}"
Alm1ghtySosa,JEFF DPS BRO,Marvel Rivals,False,"['JEFF', 'DPS']",Southeast Asia,"['jeff', 'dps']","{'jeff': {'Marvel Rivals': {'matched_word': 'jeff', 'definition': 'land shark with bite attacks and pressure mobility', 'score': 0.9999658701}}}","{'message': 'JEFF DPS BRO', 'toxicity': True, 'reason': ""the message contains a personal insult ('dps idiot' in the examples), even though it is shortened to 'dps'.""}"
Alm1ghtySosa,JEFF BETTER THAN PSYLOCK,Marvel Rivals,False,"['JEFF', 'PSYLOCK']",Southeast Asia,"['jeff', 'psylocke']","{'jeff': {'Marvel Rivals': {'matched_word': 'jeff', 'definition': 'land shark with bite attacks and pressure mobility', 'score': 0.9999658701}}, 'psylocke': {'Marvel Rivals': {'matched_word': 'psylocke', 'definition': 'fast assassin with psychic melee attacks and mobility', 'score': 0.9999614475}}}","{'message': 'JEFF BETTER THAN PSYLOCK', 'toxicity': True, 'reason': 'this comment is toxic as it contains a personal insult, comparing two characters and degrading one of them.'}"
haakmal,jeff no heals,Marvel Rivals,False,"['jeff', 'heals']",Southeast Asia,"['jeff', 'heals']","{'jeff': {'Marvel Rivals': {'matched_word': 'jeff', 'definition': 'land shark with bite attacks and pressure mobility', 'score': 0.9999658701}}, 'heals': {'Marvel Rivals': {'matched_word': 'healing', 'definition': 'restoring health to teammates', 'score': 0.7146905466285715}}}","{'message': 'jeff no heals', 'toxicity': False, 'reason': ""this message is a statement about the character 'jeff' in the context of Marvel Rivals, and does not contain any toxic language or personal attacks.""}"
haakmal,wp,Marvel Rivals,False,[],Southeast Asia,['wp'],"{'wp': {'General': {'matched_word': 'wp', 'definition': 'well played', 'score': 0.9999587}}}","{'message': 'wp', 'toxicity': False, 'reason': ""this message is a wholesome comment that uses 'wp' which means 'well played', indicating a positive sentiment.""}"
Gromp'd,ggwp practice spiderman,Marvel Rivals,False,['spiderman'],Southeast Asia,"['ggwp', 'spiderman']","{'spiderman': {'Marvel Rivals': {'matched_word': 'spiderman', 'definition': 'agile hero with web-swinging, control, and mobility', 'score': 0.9999761342}}}","{'message': 'ggwp practice spiderman', 'toxicity': False, 'reason': ""this is a positive comment, the use of 'ggwp' is a common gaming term for 'good game, well played', and'spiderman' is being used in a gaming context to refer to the Marvel Rivals hero, which does not contain any derogatory or aggressive language.""}"
Gromp'd,sorry for bad combos,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'sorry for bad combos', 'toxicity': False, 'reason': 'this is a negative comment, however it is not toxic as it could be that the player is frustrated and is apologizing for their mistakes.'}"
KEKPipe,cute damage,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'cute damage', 'toxicity': False, 'reason': 'this comment is a positive remark about damage, and does not contain any toxic language or keywords.'}"
bigganig,2k and 7k heal bruh,Marvel Rivals,False,['heal'],Southeast Asia,['heal'],"{'heal': {'Marvel Rivals': {'matched_word': 'healing', 'definition': 'restoring health to teammates', 'score': 0.7071018382285714}}}","{'message': '2k and 7k heal bruh', 'toxicity': False, 'reason': ""this message is referring to a specific gaming context where 'heal' means restoring health to teammates, and does not contain any toxic language or personal attacks.""}"
Drekgaur,bad as tank less heal as heal KEKPipe,Marvel Rivals,False,['KEKPipe'],Southeast Asia,['heal'],"{'heal': {'Marvel Rivals': {'matched_word': 'healing', 'definition': 'restoring health to teammates', 'score': 0.7071018382285714}}}","{'message': 'bad as tank less heal as heal KEKPipe', 'toxicity': True, 'reason': ""this comment is toxic as it contains a personal insult ('bad as tank') and a derogatory term ('less heal as heal'), which implies that the player is not doing their job properly.""}"
Drekgaur,right?,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'right?', 'toxicity': False, 'reason': 'this message is neutral and does not contain any toxic keywords or phrases.'}"
KEKPipe,*** dps,Marvel Rivals,True,['dps'],Southeast Asia,['dps'],{},"{'message': '*** dps', 'toxicity': True, 'reason': 'dps is being used as a derogatory term here, indicating frustration and anger towards the player.'}"
Drekgaur,*** get in and blame people?,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': '*** get in and blame people?', 'toxicity': True, 'reason': ""this comment is toxic as it contains a profanity that is aggressive to others, and the phrase 'blame people' implies a negative and accusatory tone.""}"
